source,target,label,weight
001t,001v,Le_Rose_Bonbon,4
002t,002v,Tournee_1982,1
002t,001v,Tournee_1982,4
002t,003v,Tournee_1982,1
003t,012v,Les_Dix_Jours_De_Pekin,1
003t,007v,Les_Dix_Jours_De_Pekin,1
003t,004v,Les_Dix_Jours_De_Pekin,2
003t,010v,Les_Dix_Jours_De_Pekin,1
003t,002v,Les_Dix_Jours_De_Pekin,1
003t,006v,Les_Dix_Jours_De_Pekin,1
003t,005v,Les_Dix_Jours_De_Pekin,1
003t,001v,Les_Dix_Jours_De_Pekin,2
003t,013v,Les_Dix_Jours_De_Pekin,1
003t,008v,Les_Dix_Jours_De_Pekin,1
003t,009v,Les_Dix_Jours_De_Pekin,1
003t,011v,Les_Dix_Jours_De_Pekin,1
004t,024v,Peril_Jaune_Tour,1
004t,020v,Peril_Jaune_Tour,1
004t,027v,Peril_Jaune_Tour,1
004t,004v,Peril_Jaune_Tour,1
004t,026v,Peril_Jaune_Tour,1
004t,029v,Peril_Jaune_Tour,1
004t,034v,Peril_Jaune_Tour,1
004t,015v,Peril_Jaune_Tour,1
004t,019v,Peril_Jaune_Tour,1
004t,031v,Peril_Jaune_Tour,1
004t,018v,Peril_Jaune_Tour,1
004t,033v,Peril_Jaune_Tour,1
004t,016v,Peril_Jaune_Tour,1
004t,028v,Peril_Jaune_Tour,1
004t,002v,Peril_Jaune_Tour,1
004t,021v,Peril_Jaune_Tour,1
004t,023v,Peril_Jaune_Tour,1
004t,036v,Peril_Jaune_Tour,1
004t,006v,Peril_Jaune_Tour,1
004t,001v,Peril_Jaune_Tour,2
004t,032v,Peril_Jaune_Tour,1
004t,022v,Peril_Jaune_Tour,1
004t,030v,Peril_Jaune_Tour,2
004t,025v,Peril_Jaune_Tour,1
004t,014v,Peril_Jaune_Tour,1
004t,017v,Peril_Jaune_Tour,1
004t,035v,Peril_Jaune_Tour,1
005t,042v,Tour_Scandinave_Concert_SOS_Racisme,1
005t,041v,Tour_Scandinave_Concert_SOS_Racisme,1
005t,038v,Tour_Scandinave_Concert_SOS_Racisme,1
005t,040v,Tour_Scandinave_Concert_SOS_Racisme,1
005t,039v,Tour_Scandinave_Concert_SOS_Racisme,1
005t,001v,Tour_Scandinave_Concert_SOS_Racisme,1
005t,037v,Tour_Scandinave_Concert_SOS_Racisme,3
006t,064v,Indochine_Joue,1
006t,020v,Indochine_Joue,1
006t,069v,Indochine_Joue,1
006t,075v,Indochine_Joue,1
006t,050v,Indochine_Joue,1
006t,071v,Indochine_Joue,1
006t,027v,Indochine_Joue,1
006t,051v,Indochine_Joue,1
006t,007v,Indochine_Joue,1
