source,target,label,weight
001t,001v,Paris_pour_Le_Rose_Bonbon,4
002t,002v,Lyon_pour_Tournee_1982,1
002t,001v,Paris_pour_Tournee_1982,4
002t,003v,Vincennes _pour_Tournee_1982,1
003t,012v,Annonay_pour_Les_Dix_Jours_De_Pekin,1
003t,007v,Bourges_pour_Les_Dix_Jours_De_Pekin,1
003t,004v,Bruxelles _pour_Les_Dix_Jours_De_Pekin,2
003t,010v,Chartres _pour_Les_Dix_Jours_De_Pekin,1
003t,002v,Lyon_pour_Les_Dix_Jours_De_Pekin,1
003t,006v,Nancy_pour_Les_Dix_Jours_De_Pekin,1
003t,005v,Orleans_pour_Les_Dix_Jours_De_Pekin,1
003t,001v,Paris_pour_Les_Dix_Jours_De_Pekin,2
003t,013v,Rennes _pour_Les_Dix_Jours_De_Pekin,1
003t,008v,Seraing_pour_Les_Dix_Jours_De_Pekin,1
003t,009v,Tours_pour_Les_Dix_Jours_De_Pekin,1
003t,011v,Vendome_pour_Les_Dix_Jours_De_Pekin,1
004t,024v,Aix-En-Provence _pour_Peril_Jaune_Tour,1
004t,020v,Annecy _pour_Peril_Jaune_Tour,1
004t,027v,Bordeaux _pour_Peril_Jaune_Tour,1
004t,004v,Bruxelles _pour_Peril_Jaune_Tour,1
004t,026v,Carcassonne_pour_Peril_Jaune_Tour,1
004t,029v,Clermont-Ferrand_pour_Peril_Jaune_Tour,1
004t,034v,Colmar_pour_Peril_Jaune_Tour,1
004t,015v,Dinan_pour_Peril_Jaune_Tour,1
004t,019v,Geneve_pour_Peril_Jaune_Tour,1
004t,031v,La-Cote-Saint-Andre_pour_Peril_Jaune_Tour,1
004t,018v,Lausanne _pour_Peril_Jaune_Tour,1
004t,033v,Liege _pour_Peril_Jaune_Tour,1
004t,016v,Lille_pour_Peril_Jaune_Tour,1
004t,028v,Limoges_pour_Peril_Jaune_Tour,1
004t,002v,Lyon_pour_Peril_Jaune_Tour,1
004t,021v,Montelimar _pour_Peril_Jaune_Tour,1
004t,023v,Montpellier _pour_Peril_Jaune_Tour,1
004t,036v,Namur_pour_Peril_Jaune_Tour,1
004t,006v,Nancy_pour_Peril_Jaune_Tour,1
004t,001v,Paris_pour_Peril_Jaune_Tour,2
004t,032v,Reims_pour_Peril_Jaune_Tour,1
004t,022v,Romans-sur-Isere _pour_Peril_Jaune_Tour,1
004t,030v,Saint-Etienne_pour_Peril_Jaune_Tour,2
004t,025v,Saint-Jean_pour_Peril_Jaune_Tour,1
004t,014v,Saint-Lo_pour_Peril_Jaune_Tour,1
004t,017v,Sion_pour_Peril_Jaune_Tour,1
004t,035v,Strasbourg_pour_Peril_Jaune_Tour,1
005t,042v,Copenhague_pour_Tour_Scandinave_Concert_SOS_Racisme,1
