id,label,role,weight,lat,lng
001t,Le_Rose_Bonbon,Tournee,4,47.232834,-8.642209
002t,Tournee_1982,Tournee,6,44.631623,-4.780980
003t,Les_Dix_Jours_De_Pekin,Tournee,14,49.761091,-4.923187
004t,Peril_Jaune_Tour,Tournee,29,48.943064,-6.087779
005t,Tour_Scandinave_Concert_SOS_Racisme,Tournee,9,59.165248,20.927695
006t,Indochine_Joue,Tournee,55,48.145844,-8.514014
007t,Tour_88,Tournee,38,44.344156,-6.903653
008t,Le_Birthday_Tour,Tournee,20,47.091630,-16.52530
009t,Une_Nuit_Dans_Votre_Ville,Tournee,17,47.682699,-13.570552
010t,Wax_Tour,Tournee,19,48.024712,-5.786532
011t,Live_Tour,Tournee,15,49.204585,-3.380784
012t,Indo_Tour_99,Tournee,12,46.459462,-3.378242
013t,Dancetaria_Tour,Tournee,45,46.44921,-4.218000
014t,Une_Nuit_Intime_Avec_Indochine,Tournee,31,45.869689,-7.933706
015t,Paradize_Tour,Tournee,94,50.387259,0.723954
016t,Alice_&_June_Tour,Tournee,65,41.348130,5.115541
017t,Hanoi_25_Ans,Tournee,2,20.376310,108.740212
018t,Meteor_Tour,Tournee,66,48.862971,-19.405687
019t,Stade_De_France_Putain_De_Stade,Tournee,1,48.983306,-18.800390
020t,Paradize_Plus_10,Tournee,2,47.744633,-5.51209
021t,Black_City_Tour,Tournee,65,50.146624,-2.236604
022t,Stade_De_France_Black_City_Concerts,Tournee,2,50.15127,-2.452731
023t,Europe_City_Club_Tour,Tournee,8,41.210737,3.970099
024t,Concerts_2015,Tournee,2,48.131357,-37.401925
025t,Festival_Tour_2016,Tournee,7,44.103038,-2.861192
026t,Concerts_2017,Tournee,2,48.358074,-5.890137
027t,13_Tour,Tournee,60,48.996728,-2.573525
028t,Concerts_2020,Tournee,3,45.228869,-5.062364
029t,Concerts_2021,Tournee,4,48.934125,-4.717035
030t,Central_Tour_Tournee_Des_Stades,Tournee,6,51.927788,3.200799
031t,Concerts_2023,Tournee,11,51.462995,1.094715
032t,Concerts_2024,Tournee,2,49.876833,-2.868145
033t,Arena_Tour,Tournee,69,43.309087,9.151638
001v,Paris,Ville,85,48.859,2.347
002v,Lyon,Ville,32,45.758,4.835
003v,Vincennes ,Ville,2,48.847279,2.437785
004v,Bruxelles ,Ville,43,50.85045,4.34878
005v,Orleans,Ville,13,47.873569,1.911358
006v,Nancy,Ville,11,48.688135,6.171263
007v,Bourges,Ville,5,47.082492,2.397634
008v,Seraing,Ville,2,50.027649,3.368787
009v,Tours,Ville,3,47.395476,0.694273
010v,Chartres ,Ville,1,48.446525,1.502286
011v,Vendome,Ville,1,47.795339,1.064216
012v,Annonay,Ville,1,45.244537,4.653025
013v,Rennes ,Ville,8,48.110899,-1.68365
014v,Saint-Lo,Ville,1,49.113843,-1.080182
015v,Dinan,Ville,1,48.446574,-2.053922
016v,Lille,Ville,27,50.630993,3.045449
017v,Sion,Ville,2,46.22739,7.35559
018v,Lausanne ,Ville,7,46.516,6.63282
019v,Geneve,Ville,12,46.20222,6.14569
020v,Annecy ,Ville,4,45.901584,6.125296
021v,Montelimar ,Ville,1,44.553424,4.745639
022v,Romans-sur-Isere ,Ville,1,45.051594,5.046335
023v,Montpellier ,Ville,15,43.610476,3.87048
024v,Aix-En-Provence ,Ville,5,43.541369,5.406124
025v,Saint-Jean,Ville,1,43.663804,1.504406
026v,Carcassonne,Ville,4,43.206781,2.349415
027v,Bordeaux ,Ville,20,44.851895,-0.587877
028v,Limoges,Ville,9,45.856159,1.221254
029v,Clermont-Ferrand,Ville,18,45.786671,3.107129
030v,Saint-Etienne,Ville,11,45.430195,4.370045
031v,La-Cote-Saint-Andre,Ville,1,45.383617,5.259519
032v,Reims,Ville,12,49.250948,4.055595
033v,Liege ,Ville,7,50.63373, 5.56749
034v,Colmar,Ville,7,48.081502,7.352569
035v,Strasbourg,Ville,20,48.579831,7.761454
036v,Namur,Ville,4,47.504599,0.784089
037v,Stockholm,Ville,4,59.32938,18.06871
038v,Hultsfred,Ville,1,57.48815,15.84357
039v,Orebro,Ville,1,59.27412,15.2066
040v,Lund,Ville,1,55.70584,13.19321
041v,Goteborg ,Ville,1,57.70716,11.96679
042v,Copenhague,Ville,2,55.67594,12.56553
043v,Champigny_Sur_Marne,Ville,1,48.81642,2.49366
044v,Montrouge ,Ville,1,48.815929,2.316207
045v,Les Ulis,Ville,1,48.681532,2.185946
046v,Sevran,Ville,2,48.93797,2.531288
047v,Rouen,Ville,15,49.440044,1.093912
048v,Dijon,Ville,15,47.331848,5.033601
049v,Mulhouse,Ville,3,47.751678,7.326517
050v,Besancon ,Ville,4,47.24378,6.00064
051v,Bourg-En-Bresse,Ville,1,46.204893,5.241148
052v,Nice,Ville,7,43.71273,7.25092
053v,Toulon,Ville,3,43.136385,5.933457
054v,Nîmes,Ville,5,43.814652,4.356289
055v,Perpignan ,Ville,2,42.701392,2.902878
056v,Toulouse,Ville,19,43.604082,1.433805
057v,Pau,Ville,6,43.313159,-0.343106
058v,Castres,Ville,1,43.609392,2.245482
059v,Gueret,Ville,1,46.171558,1.875015
060v,Millau,Ville,1,44.115989,3.07932
061v,Caen,Ville,11,49.184316,-0.37193
062v,Melun ,Ville,2,48.541335,2.65985
063v,Nantes,Ville,22,47.239367,-1.555335
064v,Angers,Ville,5,47.467471,-0.561615
065v,Verneuil,Ville,2,49.097699,3.67267
066v,La Rochelle,Ville,3,46.158141,-1.171305
067v,Redon,Ville,1,47.656781,-2.074178
068v,Monaco,Ville,1,43.73718,7.42145
069v,Antibes,Ville,1,43.582206,7.103245
070v,Vaison-La-Romaine,Ville,2,44.249404,5.061432
071v,Beziers,Ville,1,43.343264,3.233465
072v,Nyon,Ville,6,44.355605,5.126141
073v,Hyeres,Ville,1,43.116731,6.20255
074v,Marseille,Ville,10,43.282,5.405
075v,Bayonne,Ville,1,43.488544,-1.466564
076v,Royan,Ville,1,45.634186,-1.017415
077v,Grenoble,Ville,5,45.182081,5.7243
078v,Lievin ,Ville,1,50.424192,2.769683
079v,Epinal,Ville,1,48.170059,6.484474
080v,Avignon,Ville,1,43.936694,4.845053
081v,Le_Mans,Ville,5,48.0021, 0.20251
082v,Amiens,Ville,9,49.895894,2.314669
083v,Poitiers,Ville,2,46.586578,0.35668
084v,Montréal,Ville,9,45.50884,-73.58781
085v,Lima,Ville,4,-12.04318, -77.02824
086v,Vitrolles,Ville,1,43.443844,5.258646
087v,Saint-Denis-De-La-Reunion ,Ville,2,-20.909778,55.444588
088v,Yerres,Ville,1,48.710884,2.491344
089v,Berck,Ville,2,50.41121,1.581921
090v,Roberval,Ville,1,48.5168,-72.23244
091v,Chicoutimi,Ville,1,48.41963,-71.06369
092v,Quebec,Ville,3,46.81228,-71.21454
093v,Agen,Ville,1,44.202304,0.631041
094v,Stavelot,Ville,1,50.395,5.93124
095v,Virton,Ville,1,49.56824,5.53259
096v,Delemont,Ville,1,47.36493,7.34453
097v,Avion,Ville,1,50.408007,2.829131
098v,Sandillon,Ville,1,47.838423,2.031022
099v,Tremblay,Ville,1,48.97725,2.55497
